Stock Name,Symbol,Exch,Sector Name,Industry Name,Score,4 Day Change,Close,Chg%,Symbol with Comma for External Upload
Oil India Ltd.,OIL,NSE,Crude Oil,Oil Exploration,82,50,507.1,3.29,"OIL,"
Oil & Natural Gas Corporation Ltd.,ONGC,NSE,Crude Oil,Oil Exploration,75,43,297.15,0.9,"ONGC,"
Coal India Ltd.,COALINDIA,NSE,Mining,Mining & Minerals,77,42,462.25,-0.17,"COALINDIA,"
Vardhman Textiles Ltd.,VTL,NSE,Textile,Textile,90,28,609.9,-0.63,"VTL,"
Balrampur Chini Mills Ltd.,BALRAMCHIN,NSE,Agriculture,Sugar,100,27,548.9,2.76,"BALRAMCHIN,"
United Spirits Ltd.,UNITDSPR,NSE,Alcohol,Breweries & Distilleries,57,24,1256.4,0.71,"UNITDSPR,"
NTPC Green Energy Ltd.,NTPCGREEN,NSE,Power,Power Generation/Distribution,97,22,111.25,3.81,"NTPCGREEN,"
National Aluminium Company Ltd.,NATIONALUM,NSE,Non - Ferrous Metals,Aluminium & Aluminium Products,45,20,408.25,3.6,"NATIONALUM,"
KPIT Technologies Ltd.,KPITTECH,NSE,Information Technology,IT - Software,57,19,710.65,-0.2,"KPITTECH,"
Adani Power Ltd.,ADANIPOWER,NSE,Power,Power Generation/Distribution,80,17,213.87,2.02,"ADANIPOWER,"
Oracle Financial Services Software Ltd.,OFSS,NSE,Information Technology,IT - Software,77,17,8928.5,-0.91,"OFSS,"
Lloyds Metals & Energy Ltd.,LLOYDSME,NSE,Iron & Steel,Steel/Sponge Iron/Pig Iron,87,15,1749.8,2.7,"LLOYDSME,"
Titagarh Rail Systems Ltd.,TITAGARH,NSE,Automobile & Ancillaries,Railways Wagons/Coaches,80,15,773.85,-0.05,"TITAGARH,"
Zydus Wellness Ltd.,ZYDUSWELL,NSE,Fast Moving Consumer Goods,Consumer Food,77,15,515.35,1.72,"ZYDUSWELL,"
Ajanta Pharma Ltd.,AJANTPHARM,NSE,Healthcare,Pharmaceuticals & Drugs,93,13,3123.2,1.02,"AJANTPHARM,"
Steel Authority Of India Ltd.,SAIL,NSE,Iron & Steel,Steel & Iron Products,82,12,201.31,14.32,"SAIL,"
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,NSE,Logistics,Port,87,9,1737.8,2.94,"ADANIPORTS,"
Anand Rathi Wealth Ltd.,ANANDRATHI,NSE,Finance,Finance - Others,77,9,3550.1,0.58,"ANANDRATHI,"
Mphasis Ltd.,MPHASIS,NSE,Information Technology,IT - Software,32,5,2145.2,-0.06,"MPHASIS,"
